HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/CyberShake_100.xml.dag
### Exec 0 :
26.7167 0.179597
26.5833 0.362073
26.45 0.467652
26.4167 0.610069
25.6 0.85547
25.4167 1.19328
25.1833 1.33908
23.8 1.49067
22.5333 1.61457
20.65 1.88181
20.4833 1.98913
20.2667 2.07184
20.1667 2.17144
19.3667 2.28582
18.2333 2.59972
17.9833 2.71843
17.35 2.83831
17.1 2.99587
16.9833 3.13589
16.6333 3.27338
15.9333 3.44584
15.6667 3.81664
15.4167 4.16315
15.3167 4.40196
15.25 4.67857
15.2 4.88483
15.1667 5.35949
15.0667 6.71507
15.05 6.92184
14.9667 8.57434
14.8833 9.16008
14.8333 9.45478
### Exec 1 :
26.6667 0.173625
26.5333 0.249088
26.45 0.365484
26.4167 0.520419
26.3667 0.793961
25.35 0.890857
25.2333 1.41661
25 1.5258
24.9 1.71995
23.7667 1.95709
23.5333 2.21188
23.4333 2.42757
22.3 3.60156
22.1167 3.85031
21.9167 4.11959
21.8 4.42334
21.75 4.9168
21.7167 5.12772
20.95 5.56387
20.8333 5.9023
20.6 6.1012
20.5667 6.17614
20.5 6.30857
19.6833 6.72723
19.5333 6.96091
19.4667 7.3248
19.4167 7.46611
18.9333 8.36811
18.4667 8.52394
18.05 9.23635
17.8667 9.40811
17.7833 9.55635
16.3333 9.74038
15.6167 9.83928
14.7 9.94247
14.5167 10.0368
14.4333 10.314
14.4 10.4949
14.3167 10.7579
14.2833 11.2726
14.1333 11.4965
14.0833 11.6221
14.0167 12.0631
13.9833 12.4176
### Exec 2 :
26.7167 0.11816
26.5833 0.25505
25.95 0.336283
24.8333 0.396107
23.3667 0.563921
22.8333 0.645925
22.3333 0.745817
21.4 0.838082
20.4167 0.891258
20.2333 0.972632
17.8833 1.10233
17.3167 1.2098
16.8667 1.31363
16.4333 1.38247
16.1 1.45389
15.5167 1.74017
15.0833 1.94575
14.9 2.00379
14.8667 2.08128
14.8167 2.35635
14.7667 2.47932
###!# result: 14.5277666667 +/- 0.385954965709	8.11723333333 +/- 4.16606334195

