HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/GENOME.d.351024866.0.dax.dag
### Exec 0 :
467.6 0.0930101
464.733 0.109464
458.95 0.129952
458.283 0.226572
458.017 0.256989
457.767 0.287503
455.65 0.348832
454.783 0.37545
454.717 0.420127
453.617 0.481268
453.567 0.782994
453.25 1.07248
453.117 1.38068
452.817 1.44724
452.617 1.50593
452.55 1.55293
452.533 1.81876
452.367 2.63572
452.117 2.80155
452.05 2.89018
451.85 3.13101
451.767 3.21037
### Exec 1 :
466.767 0.0213589
464.733 0.0364991
460.9 0.0491112
460.233 0.0611829
460.133 0.0972284
454.867 0.52996
453.433 0.559469
452.117 0.647757
447.85 0.673731
446.917 0.928947
445.483 1.01533
444.983 1.52748
444.5 1.57251
444.433 1.71043
443.933 2.36745
443.3 2.38091
443.233 2.57011
443.167 2.60174
443.117 2.69566
443.067 2.85954
442.267 3.0902
441.85 3.20014
441.683 3.6033
441.55 3.69354
441.367 3.75825
441.283 4.08718
### Exec 2 :
468.283 0.0363666
466.767 0.0615272
463.183 0.0831671
462.05 0.0980185
460.85 0.145178
460.55 0.178469
460.333 0.267958
460.25 0.286259
454.75 0.349055
454.167 0.364394
453.867 0.396492
453.517 0.460058
453.2 0.477692
452.95 0.518803
447.533 0.562167
447.317 0.628474
447.133 0.764585
446.85 0.824032
446.5 0.863181
446.4 0.882834
446.133 0.902938
446.067 0.989406
445.967 1.03836
445.767 1.05698
445.6 1.0702
445.567 1.14717
445.4 1.59532
445.283 1.6397
445.15 1.74474
444.767 1.87712
444.333 2.03334
444.083 2.1071
444.017 2.23152
443.783 2.89756
443.083 3.01985
442.783 3.05276
442.45 4.17852
442.167 4.26332
441.917 4.3103
441.867 4.35994
441.85 4.4319
441.683 4.86609
###!# result: 444.911 +/- 4.85067363019	4.05454666667 +/- 0.676338613631

