HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/CyberShake_30.xml.dag
### Exec 0 :
11.15 0.00352457
11.1 0.0141695
10.8833 0.0560058
10.7167 0.0743621
10.55 0.085641
10.4833 0.0931837
10.45 0.117353
10.3667 0.161927
10.3333 0.207138
10.25 0.236772
### Exec 1 :
11.15 0.00343518
11.1 0.0139973
10.8667 0.0603542
10.7833 0.0932864
10.6833 0.100879
10.65 0.141777
10.6333 0.239306
10.5833 0.26569
10.4667 0.365851
10.3 0.44115
10.2833 0.618335
10.2333 0.816851
### Exec 2 :
11.15 0.00353863
11.1 0.013607
11.0167 0.0575391
10.4167 0.077097
10.3333 0.087659
10.3 0.0954699
10.2833 0.13602
###!# result: 10.2555333333 +/- 0.0207840216406	0.396547666667 +/- 0.30003212093

