HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/Epigenomics_100.xml.dag
### Exec 0 :
916.233 0.125792
916.033 0.204689
915.833 0.250767
905.917 0.292607
905.85 0.343934
904.85 0.433587
904.517 0.461661
904.367 0.526834
904.2 0.563612
898.667 0.599693
898.15 0.636909
897.317 0.829541
896.717 0.883968
894.933 0.911714
894.85 0.986731
893.583 1.0313
893.383 1.06764
893.233 1.14523
892.967 1.2012
892.833 1.2788
890.55 1.45879
890.467 1.6629
890.067 1.74091
890 1.78967
889.933 1.85441
889.867 2.00041
889.783 2.10148
889.75 3.7849
889.667 4.53403
889.6 5.53806
889.567 5.84172
889.533 6.29209
889.467 7.1694
889.45 7.37162
### Exec 1 :
916.233 0.126757
916.033 0.233095
915.833 0.277044
915.733 0.336563
915.633 0.357995
915.417 0.518529
913.75 0.555986
908.267 0.594111
908.1 0.63126
907.65 0.692633
907.517 0.722143
903.45 0.761236
902.333 0.829483
902.083 0.884531
901.917 0.983064
901.817 1.0368
900.633 1.13996
896.017 1.24105
895.083 1.27547
894.75 1.34288
893.483 1.51412
891.75 1.66908
891.55 1.81529
891.467 1.93126
890.8 1.98025
890.717 2.0329
890.1 2.0925
889.9 2.24682
889.8 2.57301
889.767 2.73286
### Exec 2 :
916.233 0.0459915
916.033 0.138016
915.783 0.175547
915.683 0.232945
915.583 0.407392
908.483 0.557687
902.95 0.633754
901.767 0.707305
901.433 0.848513
900.933 0.91875
894.183 1.03242
892.217 1.08646
892.083 1.18706
892 1.21718
891.067 1.25491
890.667 1.34003
890.15 1.53766
890 1.61974
889.867 1.70958
889.75 1.77189
889.733 1.96441
###!# result: 889.65 +/- 0.142100903117	4.02296333333 +/- 2.3885497628

